date,UST_10YR,UIVE_SP500VALUEETF,VNQ_VANGREALEST,USFFR,EMB_USDEMRGBOND,LQD_CORPBOND,MUB_MUNIBOND,SHY_1-3USTR,USDJPY,USDGBP,VIG_VANGDIV,IVV_SP500,USDRMB,CRUDOIL,CFE_VIX,EEM_MSCIEMERGING,USDEUR,XLE_ENERGYSPDR,SP500_GSCI,EFA_MSCIEAFE,TIP_TIPSBOND,UST_2YR,USDOIS,CHNGDP,USGDP,EZGDP,US_UNEMP,CHNGDP_Shock,USGDP_Shock,EZGDP_Shock,US_UNEMP_Shock,VNQ_VOL,EMB_VOL,LQD_VOL,MUB_VOL,VIG_VOL,IVV_VOL,EEM_VOL,EFA_VOL,XLE_VOL,SHY_VOL,TIP_VOL
4/2/2015,1.9132,92.18,84.83,0.12,112.85,121.53,110.25,84.87,0.8353,1.48285,80.44,207.76,6.197,49.14,17.45,41.24,0.918823,77.72,400.967,25.05,114.05,0.5423,0.121,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,0.48780118900715996,0.35315718879262187,0.1836300628875069,0.14342245292621206,0.41012193309526174,1.0175067566837326,0.6570616409453403,0.1417039166714451,0.6228964600926035,0.03420526274073128,0.4446571713141291
4/6/2015,1.8991,92.22,85.71,0.13,113.26,121.69,110.24,84.94,0.8365999,1.48805,81.11,209.28,6.1935,52.14,16.95,41.77,0.915458,79.12,413.144,25.2,114.5,0.499,0.123,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,0.599733274044944,0.46360543568410867,0.09959919676381995,0.15770225110418729,0.33158709264053327,0.7822531558881499,0.6328269905760281,0.1639207125412371,0.6639277069049191,0.02949576239280327,0.37312196397550984
4/7/2015,1.8869,93.36,84.2,0.12,113.05,122.13,110.37,84.88,0.8314,1.48075,80.83,208.66,6.196,53.98,16.8,41.56,0.924599,79.17,417.868,25.36,114.75,0.5188,0.13,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,0.622591358755224,0.3609709129498167,0.2456013029198514,0.08324662157295788,0.35109827684827555,0.8336186177724079,0.43124239123884206,0.16574076143189592,0.8125392298197812,0.02949576239280327,0.30656157619773206
4/8/2015,1.906,92.99,84.33,0.12,113.58,122.09,110.34,84.88,0.83235,1.48665,81.07,209.41,6.2025,50.42,16.7,42.43,0.927601,78.53,404.068,25.43,114.47,0.5346,0.126,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,0.593464404995502,0.30898220012774635,0.2961080883661688,0.06041522989532701,0.3266037354438647,0.7952861119724643,0.49170112873700156,0.17455658108482164,0.7140518188452313,0.02949576239280327,0.30656157619773206
4/9/2015,1.9636,93.15,82.58,0.12,113.61,121.47,110.24,84.85,0.82925,1.47145,81.42,210.33,6.2055,50.79,16.15,42.85,0.938131,79.79,406.351,25.69,114.06,0.5506,0.123,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.143874993168766,0.33037857072722154,0.31035463585369194,0.06220932408654315,0.3648698398140859,0.9526121980615927,0.6570768600408248,0.24213632523852788,0.7805318699427364,0.03361547261509391,0.30402302544517285
4/10/2015,1.9495,93.95,82.52,0.12,113.62,121.64,110.18,84.83,0.8318,1.46315,81.6,211.43,6.2085,51.64,15.4,42.88,0.943041,80.14,412.365,25.75,113.95,0.5589,0.12,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.3409586123356043,0.2569630323523971,0.29134172374697626,0.07861297604911704,0.30418744222279537,1.079059775867324,0.6091551526507625,0.23028243528331746,0.6275746967464872,0.04159326867586812,0.332009036022883
4/13/2015,1.9304,94.24,82.3,0.13,113.46,121.6,110.22,84.88,0.8324,1.4676,81.24,210.46,6.2167,51.91,15.18,42.63,0.946298,79.34,412.762,25.66,113.98,0.535,0.121,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,0.9915543353731489,0.2400624918552164,0.3027044763393416,0.08124038406665539,0.2994494949170157,1.0597499704621627,0.5403239768887728,0.17195929750964833,0.6150040650243367,0.023021728848044105,0.35251950300783397
4/14/2015,1.9007,93.89,82.59,0.13,113.59,121.88,110.17,84.92,0.8376499,1.478,81.27,210.83,6.21155,53.29,15.6,42.82,0.938659,80.77,417.953,25.67,114.28,0.515,0.1125,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,0.8278466041468083,0.06457553713073119,0.24724481793541597,0.06782329985544255,0.19987496092829835,0.740283729318757,0.19018412131613893,0.12247448713920117,0.8432259483652917,0.03420526274049759,0.2215174936679542
4/15/2015,1.8902,94.53,81.97,0.13,113.77,121.96,110.29,84.92,0.83925,1.4842,81.4,211.91,6.2052,56.39,15.25,43.12,0.935761,82.7,430.831,25.73,114.63,0.499,0.126,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,5.4,0.2633818520657294,0.11022703840581606,0.20371548786466703,0.048476798607964985,0.143108350581352,0.6674728458098484,0.17507141400220141,0.03872983346218981,1.3115525151501992,0.04062019201259638,0.2827543103135938
4/16/2015,1.8953,94.65,82.18,0.13,113.52,121.89,110.24,84.96,0.84025,1.49355,81.15,211.81,6.1962,56.71,15.0,43.46,0.929239,82.51,434.667,25.59,114.76,0.4869,0.125,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.2525272262501689,0.11734564327540631,0.16241921067368315,0.048476798607964985,0.17455658110221348,0.627471114787904,0.31940569813433056,0.06324555320344317,1.4727423399892383,0.0491934954960713,0.3687139812928952
4/17/2015,1.8658,94.2,81.8,0.13,113.37,122.22,110.32,84.92,0.8408999,1.49615,80.19,209.36,6.1978,55.74,15.1,42.7,0.925326,81.91,431.71,25.22,115.49,0.511,0.126,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.30425318403865487,0.150897316065346,0.22135943620221502,0.0589067059280079,0.48902965145886956,1.0505855509636564,0.3430451865289673,0.2040343108401454,1.3975084972897638,0.028284271231685282,0.5704121317089244
4/20/2015,1.8865,94.03,81.92,0.13,113.1,121.93,110.23,84.91,0.83895,1.4906,81.03,211.28,6.201,56.38,15.0,42.66,0.931316,82.22,430.815,25.39,115.18,0.5232,0.126,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.31043517841521495,0.251892834347738,0.1401071018746081,0.057879184542368345,0.47751439769494664,1.0336682252509442,0.33633316815427583,0.2111871208194624,0.761097891205394,0.019493588666600597,0.4738881724632997
