,VNQ_VANGREALEST,EMB_USDEMRGBOND,LQD_CORPBOND,MUB_MUNIBOND,SHY_1-3USTR,VIG_VANGDIV,IVV_SP500,EEM_MSCIEMERGING,XLE_ENERGYSPDR,EFA_MSCIEAFE,TIP_TIPSBOND
35,0.01,0.01,0.01,0.01,0.01,0.01,0.8999991849274853,0.01,0.01,0.01000084241381441,0.010000022961098243
36,0.01000000006798282,0.010000000085681996,0.01000000011238664,0.010000000117395382,0.010000001653410643,0.010000000013120656,0.8999949551778772,0.010000000030436456,0.01,0.010004962146608983,0.010000080598671217
37,0.01000000006630504,0.010000000083998315,0.010000000110694043,0.01000000011570111,0.010000001648444433,0.010000000011461101,0.8999946914090097,0.01000000002877116,0.01,0.010005225070113187,0.010000081460727924
38,0.010000000087695951,0.01000000010409136,0.010000000123714069,0.010000000127237667,0.010000001680370784,0.01000000004641602,0.010004286062118947,0.010000000055949653,0.010000000040991167,0.8999956298608265,0.010000081810587924
39,0.01,0.01,0.01,0.01,0.01,0.01,0.21046271244976197,0.01,0.01,0.6995373142940906,0.010000023358627633
40,0.010000000118716301,0.010000000136594429,0.010000000163569542,0.01000000016862909,0.010000001719720875,0.010000000063301664,0.8999784674860319,0.010000000080791436,0.010000000046441748,0.010021445565239151,0.010000084450963937
41,0.01,0.01,0.01,0.01,0.01,0.01,0.8999991548021216,0.01,0.01,0.010000870805433154,0.010000024465710331
42,0.010000000118542558,0.010000000136420101,0.010000000163394442,0.01000000016845385,0.010000001691572492,0.01000000006312953,0.8999959176584335,0.010000000080618866,0.010000000046269962,0.010003997831725639,0.010000082041439146
43,0.01,0.01,0.01,0.01,0.01,0.01,0.8999943561644506,0.01,0.01,0.010005670025276778,0.010000023772501716
44,0.01000000038210121,0.010000000405052412,0.010000000424065528,0.010000000419683503,0.010000002043308559,0.010000000332788504,0.010000566339439583,0.010000000334035784,0.01000000034290542,0.8999993440887941,0.010000084887825526
45,0.0100000005812824,0.01000000060536383,0.010000000630856973,0.01000000062858174,0.010000002350849366,0.01000000052057298,0.010000202505224319,0.010000000529005555,0.010000000520279648,0.8999997120386432,0.010000079089340082
46,0.01000000078344294,0.01000000080863884,0.010000000836339179,0.010000000834280993,0.010000002589871214,0.010000000718223295,0.010000150224951737,0.010000000728323456,0.010000000715911497,0.8999997624230086,0.010000079337008125
47,0.010000001005704997,0.010000001032310024,0.010000001062130844,0.010000001059945158,0.010000002835680904,0.010000000935794846,0.010000122200316328,0.010000000947101136,0.01000000093225116,0.899999786288783,0.01000008169998165
48,0.010000001195292459,0.010000001222736837,0.010000001253953094,0.010000001251958586,0.010000003031627114,0.010000001122499177,0.010000097520559333,0.010000001134770203,0.010000001117992189,0.8999998114415896,0.010000079707021345
